Day,Accompaniments,Coconut & veg finger salad,Dessert,EVENING SNACK,Evening Drink,Fruit,LUNCH,Millet roti,Morning Snack,Steamed rice,Turnip bharta
Monday,Dahi vada,Chickpea & potato veg salad,,Snack,Mint Lemonade,Apple,Main course,Missi roti,Wheat Kathi roll with green chutney,Steamed rice,Mix veg
Tuesday,Plain curd,Sprouts salad added with peanuts,Gulab jamun*,Oats & jaggery cookies,Kesar milk,Guava,Rajma raseela,Beetroot roti,Spinach corn sandwich in wheat bread,Steamed rice,Kadai paneer
Wednesday,Boondi raita,Greek salad,Jalebi*,Wheat mathri,Lemonade,Orange,Black masoor tadka,Ajwain roti,Matar with wheat kulcha,Turmeric jeera rice,Aloo methi
Thursday,Pineapple raita,Kausambri salad,Sooji Halwa*,Cheese balls with salsa,Vanilla milk,Banana,Moong masoor dal tadka,Red sauce pasta,Aloo onion parantha with tomato chutney,Spinach pinwheel,Samber
Friday,Coconut chutney,Nuts +Lactose,Brownie*,Popcorn,Fresh mix fruit juice,Mix fruit,Black chana curry,Nuts,Veg Indori poha with chutney,,
